word,frequency,probability
ace,6968,0.5470039521000558
ache,847,0.4167365938096597
act,72217,0.691548319505963
ad,43255,0.6598643840933528
add,113857,0.7196905881627325
age,66836,0.6867617792019002
ah,22391,0.619162225732002
aid,18557,0.6075526714980031
aide,1576,0.4551201322029444
aids,22059,0.6182388115073252
aim,7901,0.5547716621689471
air,81116,0.698731488181241
aisle,1389,0.4473125619092643
al,1,0.0
all,1699639,0.886789964095843
am,547594,0.8167762814473631
an,1578014,0.8822002936889397
and,10715412,1.0006074498292192
anne,1,0.0
ant,2774,0.49007021654003124
ape,3851,0.510348086174708
arch,3722,0.5082419525098062
are,2984460,0.921591854965116
ark,2891,0.49262391652792575
arm,20428,0.6134905620221385
armed,12787,0.5845317402501066
arms,32709,0.6425894734449064
art,62514,0.682629380702156
arts,22654,0.6198840579428377
as,2642512,0.9140696884518528
ash,3595,0.5060959192465104
ask,138494,0.7317990933362715
asked,102159,0.7129890740077088
asks,16410,0.599952165584191
ass,29849,0.6369334892134217
at,1977888,0.8961619302509529
ate,7077,0.54796343146607
aunt,2846,0.49165416887621344
aunts,430,0.37483141241592766
ax,3140,0.4977310726199445
axe,3071,0.496357576001126
aye,848,0.41680953158512435
ba,1,0.0
babe,3164,0.498201745636589
back,393091,0.7962851220760072
backed,6883,0.5462452602583684
bad,153581,0.73819080798828
bade,136,0.30367457061213954
badge,2040,0.471072037184355
bag,16428,0.600019932546068
bags,5806,0.535726691879013
bait,4290,0.5170212289748038
baits,1,0.0
bake,2529,0.4843544312747675
baked,1781,0.46267915062371245
bald,2765,0.48986933793111115
bale,558,0.39093871582034195
ball,38503,0.6526705882508689
balls,13294,0.586935331422611
bam,1,0.0
band,49180,0.6677998043350996
bands,17343,0.6033704018582269
bang,6790,0.5454043531998006
banged,580,0.39332903940515995
bank,39507,0.6542618058785827
bar,31562,0.6403829088826898
bare,8495,0.5592525163608097
bark,2442,0.4821905072782229
barked,1,0.0
barn,2576,0.48549267836390797
bars,9207,0.5642277580477253
bas,1,0.0
base,59144,0.6792038922134029
bash,4673,0.5223072889605395
bass,17076,0.6024113460265765
bat,6470,0.5424202560993177
batch,10264,0.5709456970692327
bath,5622,0.533735985126874
bathe,671,0.40233798604952886
bats,3885,0.5108914458667259
bay,32846,0.6428478407429326
be,3095438,0.9238487481558492
beach,26667,0.629965452040583
bead,1825,0.4641877387136098
beak,583,0.39364794685816185
beam,7879,0.5545993015166203
bean,3576,0.5057683545717043
beans,4852,0.5246308888433007
bear,23530,0.6222292953766146
beard,3174,0.4983968065669408
bears,8357,0.5582400991726444
beast,16394,0.5998918658525131
beat,33105,0.6433333558831856
bed,31346,0.6399584146975642
beds,2425,0.48175867857399945
bee,3289,0.5005968522088858
beef,5286,0.5299266101246505
been,735348,0.8349998728140104
beep,2304,0.4785947037126745
beer,24709,0.625251502136752
bees,5074,0.5273963865247026
beet,421,0.3735238834837021
beg,4584,0.5211186354136125
begged,1191,0.4378060225405689
beige,1330,0.4446294848456064
belch,284,0.3491899728502138
bell,24816,0.6255186072088402
bells,2900,0.4928160537290037
belt,10821,0.574212363657299
ben,1,0.0
bench,5361,0.5307975002346459
bend,6892,0.54632603454468
bends,1135,0.4348289842908944
bent,8476,0.5591141060274346
best,269709,0.7729996551484652
bet,29910,0.6370596861551125
bib,782,0.41180093551644564
bid,121986,0.7239535198442213
big,178682,0.747548299679817
bike,22528,0.6195392888029082
bikes,1,0.0
bill,116920,0.7213315638362884
bin,15832,0.5977356307506484
bing,658,0.40112862942114497
bird,19071,0.6092415607201952
birds,14488,0.5922518898320124
birth,23368,0.6218022396151498
bit,159207,0.7404147253796696
bite,8163,0.5567882088255847
bites,2887,0.49253833014175835
bits,23834,0.6230228070876835
blab,110,0.2905590541068382
black,160757,0.7410136279041746
blade,9593,0.5667664655083444
blah,12805,0.5846186944404079
blame,17327,0.6033133475639803
bland,1679,0.4590335247742111
blank,15241,0.5953839474324609
blast,18944,0.6088285393647792
blaze,4592,0.5212264205456026
bleach,1320,0.44416295615919266
bleed,2527,0.48430552719188885
bless,3928,0.511571866041276
blessed,5750,0.5351275825818115
blew,5338,0.5305317293002747
blimp,318,0.3561798091275219
blind,13560,0.5881599730631422
blink,2057,0.47158502566817145
blinked,561,0.3912701630355401
blob,1171,0.4367591769028681
block,33258,0.6436183844279982
blocks,14412,0.5919267734027839
blond,3229,0.4994587760451838
blonde,6625,0.54388367494869
blood,51802,0.6710105692722735
bloom,3774,0.5090995883033852
bloomed,123,0.2974640091383552
blot,530,0.38775637120299394
blouse,1686,0.45929070392838717
blow,16921,0.60184768724457
blown,5760,0.5352349931345268
blows,4717,0.5228866008324049
blub,1,0.0
blue,89006,0.7044693536793123
bluff,1102,0.43300508175144237
blur,1629,0.457164738027929
blurt,1,0.0
blush,1255,0.4410415480242152
blushed,934,0.42278057769160815
bo,1,0.0
board,79618,0.697579259183151
boast,959,0.4244133920517722
boat,15858,0.5978370623730221
boats,5616,0.5336699789726745
bob,63943,0.6840264887903271
boil,3838,0.5101390622148553
boiled,1942,0.4680288077821174
bold,5487,0.5322335271025974
bolt,7296,0.549847308134429
bomb,15378,0.5959371123494203
bon,1,0.0
bone,16064,0.5986348831123197
bones,7198,0.5490113845031357
boo,1540,0.4536917430564832
boob,497,0.3837824870938847
book,190906,0.7516387967257361
books,111047,0.7181458534492475
boom,4285,0.5169491417858358
boost,4759,0.5234345613257396
boot,43869,0.6607356684580086
booth,4465,0.5194927363674613
boots,10726,0.5736672817417291
bop,892,0.4199364618038402
bore,3599,0.5061646596011443
bored,7025,0.5475075554257116
born,35182,0.6470947999386241
boss,10003,0.569353498549493
both,296624,0.778879582658538
bough,297,0.35195667162611816
bought,57148,0.6770817449633482
bounce,4233,0.5161944089088064
bound,12726,0.5842361491871347
bout,5609,0.5335928826058448
bow,7504,0.5515849184301069
bowed,1015,0.4279215536488308
bowl,10721,0.5736384596413634
bowls,1101,0.4329489630389775
box,171531,0.7450235574217692
boy,42824,0.6592453624238793
boys,23927,0.6232635382162758
bra,3729,0.5083580989143273
brace,1419,0.4486334403194673
brag,1166,0.4364946717601532
braid,502,0.3844012586023628
braille,529,0.3876396294165777
brain,54114,0.6737096595919339
brains,6643,0.5440513967331697
branch,13545,0.5880915560583333
brand,25020,0.6260246783610415
brass,12056,0.5808929175910957
brat,1081,0.4318157551797888
brave,5525,0.5326601471734469
bray,762,0.4101994273512499
bread,9064,0.5632601382322169
break,47767,0.6659977797644127
breaks,10803,0.5741094533823629
breast,7546,0.5519299319259553
breasts,10189,0.5704923525628016
breath,14433,0.5920167793058912
breathe,3118,0.4972964512495008
breathed,1134,0.4347744979431318
breed,15242,0.595388003119733
breeze,2121,0.4734789720367716
brick,3970,0.5122293095180322
bricks,1694,0.4595833187116511
bride,3677,0.507490040525131
bridge,19357,0.6101616891204872
brief,19496,0.6106039863925307
bright,13727,0.5889166112716692
bring,56511,0.6763888581206515
brings,12635,0.5837925415157327
broad,12609,0.5836652095347319
broil,114,0.2927669587224807
broke,14086,0.5905124643258277
brook,2792,0.49047002592360495
broom,601,0.39552759443936825
broth,769,0.41076468707426583
brought,39793,0.6547076847514024
brown,42130,0.6582353947693852
bruise,457,0.37859581878331644
brunch,348,0.3617524773296879
brush,5702,0.5346093978565022
brushed,1556,0.4543306609671317
buck,6799,0.545486233087821
bud,5260,0.5296218145714284
