word,code
ace,___es__
ache,___ek__
act,___@kt_
ad,___@d__
add,___ad__
age,___eJ__
ah,___a___
aid,___ed__
aide,___ed__
aids,___edz_
aim,___em__
air,___Er__
aisle,___Al__
al,___@l__
all,___al__
am,___@m__
an,___@n__
and,___@nd_
anne,___@n__
ant,___@nt_
ape,___ep__
arch,___arC_
are,___ar__
ark,___ark_
arm,___arm_
armed,___armd
arms,___armz
art,___art_
arts,___arts
as,___@z__
ash,___@S__
ask,___@sk_
asked,___@skt
asks,___@sks
ass,___@s__
at,___@t__
ate,___et__
aunt,___ant_
aunts,___ants
ax,___@ks_
axe,___@ks_
aye,___A___
ba,__ba___
babe,__beb__
back,__b@k__
backed,__b@kt_
bad,__b@d__
bade,__bed__
badge,__b@J__
bag,__b@g__
bags,__b@gz_
bait,__bet__
baits,__bets_
bake,__bek__
baked,__bekt_
bald,__bald_
bale,__bel__
ball,__bal__
balls,__balz_
bam,__b@m__
band,__b@nd_
bands,__b@ndz
bang,__b@ng_
banged,__bengd
bank,__b@nk_
bar,__bar__
bare,__bEr__
bark,__bark_
barked,__b@rkt
barn,__barn_
bars,__b@rz_
bas,__ba___
base,__bes__
bash,__b@S__
bass,__b@s__
bat,__b@t__
batch,__b@C__
bath,__b@T__
bathe,__beD__
bats,__b@ts_
bay,__be___
be,__bi___
beach,__biC__
bead,__bid__
beak,__bik__
beam,__bim__
bean,__bin__
beans,__binz_
bear,__bEr__
beard,__bird_
bears,__bErz_
beast,__bist_
beat,__bit__
bed,__bEd__
beds,__bEdz_
bee,__bi___
beef,__bif__
been,__bIn__
beep,__bip__
beer,__bir__
bees,__biz__
beet,__bit__
beg,__bEg__
begged,__bEgd_
beige,__beZ__
belch,__bElC_
bell,__bEl__
bells,__bElz_
belt,__bElt_
ben,__bEn__
bench,__bEnC_
bend,__bEnd_
bends,__bEnz_
bent,__bEnt_
best,__bEst_
bet,__bEt__
bib,__bIb__
bid,__bId__
big,__bIg__
bike,__bAk__
bikes,__bAkz_
bill,__bIl__
bin,__bIn__
bing,__bIng_
bird,__b^rd_
birds,__b^rdz
birth,__b^rT_
bit,__bIt__
bite,__bAt__
bites,__bAtz_
bits,__bIts_
blab,_bl@b__
black,_bl@k__
blade,_bled__
blah,_bla___
blame,_blem__
bland,_bl@nd_
blank,_bl@nk_
blast,_bl@st_
blaze,_blez__
bleach,_bliC__
bleed,_blid__
bless,_blEs__
blessed,_blEsd_
blew,_blu___
blimp,_blImp_
blind,_blAnd_
blink,_blInk_
blinked,_blInkt
blob,_blab__
block,_blak__
blocks,_blaks_
blond,_bland_
blonde,_bland_
blood,_bl^d__
bloom,_blum__
bloomed,_blumd_
blot,_blat__
blouse,_blWs__
blow,_blo___
blown,_blon__
blows,_bloz__
blub,_bl^b__
blue,_blu___
bluff,_bl^f__
blur,_bl^r__
blurt,_bl^rt_
blush,_bl^S__
blushed,_bl^Sd_
bo,__bo___
board,__bord_
boast,__bost_
boat,__bot__
boats,__bots_
bob,__bab__
boil,__bOl__
boiled,__bOld_
bold,__bold_
bolt,__bolt_
bomb,__bam__
bon,__ban__
bone,__bon__
bones,__bonz_
boo,__bu___
boob,__bub__
book,__bUk__
books,__bUks_
boom,__bum__
boost,__bust_
boot,__but__
booth,__buT__
boots,__buts_
bop,__bap__
bore,__bor__
bored,__bord_
born,__born_
boss,__bas__
both,__boT__
bough,__bW___
bought,__bat__
bounce,__bWns_
bound,__bWnd_
bout,__bWt__
bow,__bo___
bowed,__bod__
bowl,__bol__
bowls,__bolz_
box,__baks_
boy,__bO___
boys,__bOz__
bra,_bra___
