model_id,hidden_units,condition
2287,10,top
5070,10,top
5434,10,top
2675,10,top
1305,10,top
2721,10,top
4692,10,top
5703,10,top
2159,10,top
944,10,top
5079,10,top
5060,10,top
8340,10,top
4811,10,top
4104,10,top
9897,10,top
4264,10,top
5320,10,top
8956,10,top
3594,10,top
7985,10,bottom
7324,10,bottom
1313,10,bottom
5559,10,bottom
7098,10,bottom
6701,10,bottom
8079,10,bottom
6305,10,bottom
1862,10,bottom
853,10,bottom
7125,10,bottom
6692,10,bottom
8789,10,bottom
2156,10,bottom
6904,10,bottom
2161,10,bottom
612,10,bottom
9246,10,bottom
8556,10,bottom
8931,10,bottom
7205,100,top
1221,100,top
3061,100,top
9175,100,top
6650,100,top
1073,100,top
2619,100,top
8777,100,top
1134,100,top
47,100,top
2159,100,top
4605,100,top
2089,100,top
9463,100,top
8316,100,top
1387,100,top
2700,100,top
2224,100,top
4908,100,top
3450,100,top
233,100,bottom
2907,100,bottom
3009,100,bottom
6844,100,bottom
1472,100,bottom
8095,100,bottom
7032,100,bottom
9293,100,bottom
2008,100,bottom
3378,100,bottom
9128,100,bottom
5441,100,bottom
8191,100,bottom
5686,100,bottom
8658,100,bottom
5139,100,bottom
6645,100,bottom
388,100,bottom
4549,100,bottom
4782,100,bottom
